"","AnonId","group","validation_round1","writing_round1","validation_round2","writing_round2","validation_round3","writing_round3","validation_round4","writing_round4","validation_round5","writing_round5","final_bonus","total_hits"
"1",102,"Group1_baseline",7,116,9,58,11,61,1,49,4,74,20,390
"2",103,"Group1_baseline",10,45,30,78,28,90,30,93,30,95,20,529
"3",107,"Group1_baseline",50,120,30,89,30,90,30,95,30,95,20,659
"4",108,"Group1_baseline",50,96,29,119,30,88,30,95,0,67,20,604
"5",113,"Group1_baseline",21,2,4,10,0,0,0,0,0,0,0,37
"6",115,"Group1_baseline",1,113,30,119,30,70,30,90,26,95,20,604
"7",117,"Group1_baseline",7,32,0,9,11,0,2,3,0,42,20,106
"8",118,"Group1_baseline",4,48,0,0,0,0,0,0,0,0,0,52
"9",127,"Group1_baseline",17,62,12,54,17,90,12,85,0,94,20,443
"10",129,"Group1_baseline",1,4,0,0,0,7,2,4,0,3,0,21
"11",130,"Group1_baseline",46,110,30,120,0,57,31,95,38,79,20,606
"12",133,"Group1_baseline",13,5,30,119,30,87,18,95,23,94,20,514
"13",135,"Group1_baseline",2,96,28,88,0,89,24,2,0,45,20,374
"14",136,"Group1_baseline",46,0,30,67,30,85,30,83,0,37,20,408
"15",137,"Group1_baseline",17,115,0,0,0,0,0,0,0,0,0,132
"16",139,"Group1_baseline",43,55,15,112,30,83,30,86,27,86,20,567
"17",140,"Group1_baseline",1,2,0,0,0,0,0,0,0,0,0,3
"18",104,"Group1_baseline",0,5,0,0,0,3,0,0,0,0,0,8
"19",110,"Group1_baseline",0,9,3,2,0,14,4,21,0,0,0,53
"20",114,"Group1_baseline",0,1,0,0,0,0,0,0,0,0,0,1
"21",119,"Group1_baseline",0,1,0,0,1,0,1,1,0,3,0,7
"22",120,"Group1_baseline",0,1,0,1,1,0,0,0,0,0,0,3
"23",123,"Group1_baseline",0,1,29,29,29,46,11,57,2,48,20,252
"24",125,"Group1_baseline",0,1,1,6,0,2,1,1,0,0,0,12
"25",126,"Group1_baseline",0,32,0,0,0,1,0,1,0,0,0,34
"26",128,"Group1_baseline",0,78,24,62,30,58,30,52,0,85,20,419
"27",131,"Group1_baseline",0,3,1,0,7,28,5,40,0,33,20,117
"28",132,"Group1_baseline",0,8,0,21,1,15,4,0,0,13,20,62
"29",134,"Group1_baseline",0,4,0,0,0,1,0,5,1,1,0,12
"30",138,"Group1_baseline",0,2,0,1,9,57,4,83,15,55,20,226
"31",201,"Group2_ling_on_side",3,103,20,120,28,81,30,87,30,90,20,592
"32",203,"Group2_ling_on_side",1,0,14,0,15,0,4,0,0,0,0,34
"33",206,"Group2_ling_on_side",23,3,1,1,1,1,0,1,0,0,0,31
"34",207,"Group2_ling_on_side",1,1,0,0,0,0,0,0,0,0,0,2
"35",211,"Group2_ling_on_side",12,52,30,42,15,49,29,48,4,33,20,314
"36",214,"Group2_ling_on_side",27,114,30,119,30,90,30,94,25,95,20,654
"37",216,"Group2_ling_on_side",2,4,2,4,0,0,0,0,0,0,0,12
"38",220,"Group2_ling_on_side",2,2,0,2,4,85,0,72,0,46,20,213
"39",222,"Group2_ling_on_side",37,119,16,103,27,76,26,93,27,90,20,614
"40",224,"Group2_ling_on_side",1,1,0,0,1,0,0,0,0,2,0,5
"41",225,"Group2_ling_on_side",15,28,11,33,4,25,3,14,9,17,20,159
"42",226,"Group2_ling_on_side",4,59,18,62,3,70,15,55,4,52,20,342
"43",229,"Group2_ling_on_side",19,49,28,58,29,74,29,92,0,55,20,433
"44",230,"Group2_ling_on_side",21,120,27,99,30,78,30,94,27,81,20,607
"45",231,"Group2_ling_on_side",19,81,25,41,23,78,24,92,25,95,20,503
"46",233,"Group2_ling_on_side",46,117,17,119,24,89,20,93,25,94,20,644
"47",234,"Group2_ling_on_side",1,1,6,14,3,56,0,4,2,0,20,87
"48",235,"Group2_ling_on_side",20,30,17,65,30,68,30,56,30,73,20,419
"49",236,"Group2_ling_on_side",36,118,30,120,25,68,4,25,0,53,20,479
"50",237,"Group2_ling_on_side",24,96,27,84,22,62,20,75,18,61,20,489
"51",238,"Group2_ling_on_side",22,47,0,0,0,0,0,0,0,0,0,69
"52",209,"Group2_ling_on_side",0,21,0,47,1,0,17,71,0,42,20,199
"53",217,"Group2_ling_on_side",0,1,9,21,14,61,9,51,0,57,20,223
"54",301,"Group3_ling_in_loop",1,0,3,1,0,0,0,0,0,0,0,5
"55",304,"Group3_ling_in_loop",1,1,1,2,1,1,1,1,0,0,0,9
"56",306,"Group3_ling_in_loop",35,44,26,70,24,51,11,28,30,30,20,349
"57",307,"Group3_ling_in_loop",2,11,0,20,10,52,0,0,0,0,0,95
"58",309,"Group3_ling_in_loop",1,15,30,114,30,110,30,92,25,94,20,541
"59",310,"Group3_ling_in_loop",42,62,22,43,13,68,13,59,7,66,20,395
"60",311,"Group3_ling_in_loop",30,61,22,36,27,86,20,93,0,65,20,440
"61",313,"Group3_ling_in_loop",3,1,0,0,16,60,12,27,11,45,0,175
"62",315,"Group3_ling_in_loop",6,59,15,11,15,4,8,3,2,1,20,124
"63",316,"Group3_ling_in_loop",6,81,17,78,11,79,10,93,10,95,20,480
"64",321,"Group3_ling_in_loop",3,31,2,27,5,6,24,47,17,49,20,211
"65",323,"Group3_ling_in_loop",1,2,0,12,0,9,9,33,0,0,0,66
"66",324,"Group3_ling_in_loop",3,73,6,23,6,35,3,53,3,75,20,280
"67",328,"Group3_ling_in_loop",3,5,2,0,2,0,2,1,0,3,20,18
"68",329,"Group3_ling_in_loop",21,118,18,113,23,56,25,95,0,75,20,544
"69",331,"Group3_ling_in_loop",2,36,18,48,13,88,30,83,0,67,20,385
"70",332,"Group3_ling_in_loop",50,120,18,119,0,0,0,0,0,0,0,307
"71",333,"Group3_ling_in_loop",29,113,18,111,21,88,16,95,26,76,20,593
"72",334,"Group3_ling_in_loop",8,82,2,1,0,0,0,0,0,0,0,93
"73",336,"Group3_ling_in_loop",50,91,23,108,16,86,30,93,21,91,20,609
"74",339,"Group3_ling_in_loop",9,65,27,87,18,90,0,0,11,71,0,378
"75",340,"Group3_ling_in_loop",1,1,0,0,0,0,0,0,0,0,0,2
"76",342,"Group3_ling_in_loop",29,2,26,26,28,27,14,17,9,12,20,190
"77",302,"Group3_ling_in_loop",0,1,3,0,0,0,0,0,0,0,0,4
"78",305,"Group3_ling_in_loop",0,1,1,0,0,0,0,0,0,0,0,2
"79",312,"Group3_ling_in_loop",0,1,0,0,0,0,14,65,10,63,0,153
"80",318,"Group3_ling_in_loop",0,1,2,2,1,1,3,2,2,2,20,16
"81",320,"Group3_ling_in_loop",0,9,0,1,0,0,0,0,0,0,0,10
"82",335,"Group3_ling_in_loop",0,1,0,0,0,0,0,0,0,0,0,1
"83",337,"Group3_ling_in_loop",0,80,25,76,30,90,30,95,30,94,20,550
"84",121,"Group1_baseline",0,0,1,1,0,0,0,0,0,0,0,2
"85",122,"Group1_baseline",0,0,0,1,0,0,0,0,0,0,0,1
"86",218,"Group2_ling_on_side",0,0,4,5,0,7,1,10,6,2,0,35
"87",219,"Group2_ling_on_side",0,0,8,2,10,14,14,25,4,35,0,112
"88",205,"Group2_ling_on_side",0,0,0,1,1,1,1,1,0,2,0,7
"89",227,"Group2_ling_on_side",0,0,0,4,0,11,0,8,0,0,0,23
"90",319,"Group3_ling_in_loop",0,0,9,37,26,53,23,78,15,77,0,318
"91",111,"Group1_baseline",0,0,0,0,9,44,4,27,4,23,0,111
"92",116,"Group1_baseline",0,0,0,0,2,1,1,1,0,0,0,5
"93",208,"Group2_ling_on_side",0,0,0,0,0,1,1,1,0,0,0,3
"94",221,"Group2_ling_on_side",0,0,0,0,0,22,0,1,0,81,0,104
"95",327,"Group3_ling_in_loop",0,0,0,0,4,27,8,14,7,16,0,76
"96",109,"Group1_baseline",0,0,0,0,0,0,1,0,0,0,0,1
"97",101,"Group1_baseline",0,0,0,0,0,0,0,1,0,0,0,1
"98",124,"Group1_baseline",0,0,0,0,0,0,0,2,0,0,0,2
"99",223,"Group2_ling_on_side",0,0,0,0,0,0,0,9,0,13,0,22
