"","round","group","heuristic","No","Yes","<NA>","mean_yes"
"1","round1","group2",NA,NA,NA,3490,NA
"2","round1","group3",NA,NA,NA,3485,NA
"3","round2","group2","background_knowledge",342,168,NA,0.329411764705882
"4","round2","group2","hypernym_hyponym",390,120,NA,0.235294117647059
"5","round2","group2","relative_clause",329,177,NA,0.349802371541502
"6","round2","group2","restricted_word_in_diff_label",286,222,NA,0.437007874015748
"7","round2","group2","reverse_argument_order",357,84,NA,0.19047619047619
"8","round2","group2","synonym_antonym",150,354,NA,0.702380952380952
"9","round2","group2","temporal_reasoning",335,173,NA,0.340551181102362
"10","round2","group3","background_knowledge",427,81,NA,0.159448818897638
"11","round2","group3","hypernym_hyponym",388,113,NA,0.225548902195609
"12","round2","group3","relative_clause",384,123,NA,0.242603550295858
"13","round2","group3","restricted_word_in_diff_label",368,141,NA,0.277013752455796
"14","round2","group3","reverse_argument_order",398,42,NA,0.0954545454545455
"15","round2","group3","synonym_antonym",396,111,NA,0.218934911242604
"16","round2","group3","temporal_reasoning",456,51,NA,0.100591715976331
"17","round3","group2","antonym",577,121,NA,0.173352435530086
"18","round3","group2","hypernym",424,275,NA,0.393419170243205
"19","round3","group2","hyponym",658,39,NA,0.0559540889526542
"20","round3","group2","reverse_argument_order",368,336,NA,0.477272727272727
"21","round3","group2","sub_part",537,162,NA,0.231759656652361
"22","round3","group3","antonym",512,183,NA,0.263309352517986
"23","round3","group3","hypernym",447,248,NA,0.356834532374101
"24","round3","group3","hyponym",611,88,NA,0.125894134477825
"25","round3","group3","reverse_argument_order",409,294,NA,0.418207681365576
"26","round3","group3","sub_part",564,133,NA,0.190817790530846
"27","round4","group2","all_overlap",758,130,NA,0.146396396396396
"28","round4","group2","grammar_change",671,196,NA,0.226066897347174
"29","round4","group2","no_overlap",601,267,NA,0.307603686635945
"30","round4","group2","not_obvious",681,186,NA,0.214532871972318
"31","round4","group3","all_overlap",603,281,NA,0.317873303167421
"32","round4","group3","grammar_change",752,116,NA,0.133640552995392
"33","round4","group3","no_overlap",592,274,NA,0.316397228637413
"34","round4","group3","not_obvious",823,44,NA,0.0507497116493656
"35","round5","group2","all_overlap",616,253,NA,0.291139240506329
"36","round5","group2","external_knowledge",621,246,NA,0.283737024221453
"37","round5","group2","no_overlap",630,260,NA,0.292134831460674
"38","round5","group2","register_change",648,220,NA,0.253456221198157
"39","round5","group3","all_overlap",614,250,NA,0.289351851851852
"40","round5","group3","external_knowledge",809,55,NA,0.0636574074074074
"41","round5","group3","no_overlap",690,198,NA,0.222972972972973
"42","round5","group3","register_change",736,130,NA,0.150115473441109
