"","AnonId","heuristic","writer_label","pct_correct","count_vals"
"1","306","antonym","No",1,6
"2","306","hypernym","No",1,5
"3","306","hyponym","No",1,8
"4","306","hyponym","Yes",0,1
"5","306","reverse_argument_order","No",0.666666666666667,3
"6","306","sub_part","No",1,14
"7","307","antonym","No",1,10
"8","307","antonym","Yes",0,4
"9","307","hyponym","No",1,4
"10","307","hyponym","Yes",0.8,5
"11","307","sub_part","No",1,9
"12","307","sub_part","Yes",0,1
"13","309","hypernym","No",0.666666666666667,6
"14","309","hyponym","No",0.833333333333333,12
"15","309","reverse_argument_order","No",0.944444444444444,18
"16","309","sub_part","No",0.941176470588235,17
"17","310","hypernym","No",1,4
"18","310","hypernym","Yes",1,4
"19","310","hyponym","No",1,7
"20","310","hyponym","Yes",0.8,5
"21","310","reverse_argument_order","Yes",0.666666666666667,3
"22","311","antonym","No",1,1
"23","311","antonym","Yes",0.2,5
"24","311","hypernym","No",1,1
"25","311","hypernym","Yes",1,1
"26","311","hyponym","No",1,3
"27","311","reverse_argument_order","No",1,3
"28","311","reverse_argument_order","Yes",1,3
"29","313","antonym","No",1,6
"30","313","hypernym","No",1,8
"31","313","hypernym","Yes",0,1
"32","313","hyponym","No",1,12
"33","315","antonym","No",1,3
"34","316","antonym","No",1,4
"35","316","antonym","Yes",1,2
"36","316","hypernym","No",1,6
"37","316","hypernym","Yes",0.666666666666667,6
"38","316","hyponym","No",1,6
"39","316","reverse_argument_order","No",0,1
"40","316","reverse_argument_order","Yes",1,13
"41","319","antonym","No",1,3
"42","319","hyponym","No",0.916666666666667,12
"43","319","reverse_argument_order","No",0.5,2
"44","319","reverse_argument_order","Yes",1,1
"45","323","reverse_argument_order","No",1,3
"46","324","hyponym","No",1,3
"47","324","reverse_argument_order","Yes",1,3
"48","327","antonym","No",1,4
"49","327","antonym","Yes",0,2
"50","329","antonym","Yes",0.2,5
"51","329","hypernym","Yes",1,3
"52","329","reverse_argument_order","No",1,9
"53","329","sub_part","Yes",0.666666666666667,3
"54","331","antonym","No",0.866666666666667,15
"55","331","hypernym","No",1,3
"56","331","hyponym","No",1,9
"57","331","reverse_argument_order","No",1,6
"58","331","sub_part","No",1,17
"59","333","antonym","No",1,1
"60","333","antonym","Yes",0.5,4
"61","333","hypernym","No",1,10
"62","333","hypernym","Yes",0.727272727272727,11
"63","333","reverse_argument_order","No",0,1
"64","333","reverse_argument_order","Yes",1,8
"65","333","sub_part","No",1,5
"66","333","sub_part","Yes",0,2
"67","336","antonym","No",1,5
"68","336","hypernym","No",1,3
"69","336","hyponym","No",1,3
"70","336","reverse_argument_order","No",0.909090909090909,11
"71","336","reverse_argument_order","Yes",0.666666666666667,3
"72","336","sub_part","No",1,6
"73","337","antonym","No",0.666666666666667,3
"74","337","hypernym","No",1,3
"75","337","hypernym","Yes",1,3
"76","337","reverse_argument_order","No",1,2
"77","337","reverse_argument_order","Yes",1,4
"78","337","sub_part","No",1,9
"79","339","antonym","No",0.916666666666667,12
"80","339","hypernym","No",1,12
"81","339","reverse_argument_order","No",1,2
"82","339","reverse_argument_order","Yes",1,1
"83","339","sub_part","No",1,9
"84","342","antonym","No",1,9
"85","342","hypernym","Yes",0,2
"86","342","sub_part","No",1,11
