,AnonId,mean_agree_validating,count_validations,mean_validated,count_writing,low_raw_agreement,
1,102,1,6,1,18,good,
2,103,0.85,180,1,36,good,
3,107,0.886363636,176,0.966666667,30,good,
4,108,0.893258427,178,0.958333333,24,good,
5,109,0.5,6,NA,NA,low,remove
6,110,0.875,24,0.733333333,15,good,
7,111,0.833333333,24,0.866666667,15,good,
8,115,0.882022472,178,0.933333333,30,good,
9,116,0.666666667,6,NA,NA,low,remove from val
10,117,1,12,1,3,good,
11,119,1,6,NA,NA,good,
12,123,0.893939394,66,0.961538462,26,good,
13,124,NA,NA,1,3,good,
14,125,1,6,NA,NA,good,
15,126,NA,NA,1,3,good,
16,127,0.847222222,72,0.966666667,30,good,
17,128,0.808988764,178,1,24,good,
18,129,1,12,0.666666667,6,low,
19,130,0.903225806,186,0.936170213,47,good,
20,131,0.965517241,29,0.866666667,15,good,
21,132,0.739130435,23,NA,NA,good,
22,133,0.876190476,105,0.955555556,45,good,
23,134,NA,NA,1,3,good,
24,135,0.848920863,139,NA,NA,good,
25,136,0.872222222,180,0.9375,32,good,
26,138,0.904761905,21,0.880952381,42,good,
27,139,0.905027933,179,0.921568627,51,good,
28,201,0.864705882,170,0.952380952,42,good,
29,203,0.782608696,23,NA,NA,good,
30,205,1,6,NA,NA,good,
31,208,0.833333333,6,NA,NA,good,
32,209,0.676767677,99,0.783783784,37,low,remove from val
33,211,0.838150289,173,1,3,good,
34,214,0.819767442,172,0.9375,32,good,
35,217,0.944444444,54,1,29,good,
36,218,0.833333333,6,NA,NA,good,
37,219,0.935897436,78,1,6,good,
38,220,NA,NA,0.857142857,42,good,
39,222,0.894736842,152,0.95,20,good,
40,223,NA,NA,1,3,good,
41,225,0.705882353,17,1,6,good,
42,226,0.795454545,88,0.958333333,24,good,
43,227,NA,NA,1,2,good,
44,229,0.867052023,173,0.952380952,42,good,
45,230,0.854651163,172,0.911111111,45,good,
46,231,0.843971631,141,0.790697674,43,good,
47,233,0.901785714,112,0.905660377,53,good,
48,234,NA,NA,1,6,good,
49,235,0.910614525,179,1,18,good,
50,236,0.791666667,24,0.933333333,15,good,
51,237,0.793103448,116,0.739130435,23,good,
52,304,1,6,NA,NA,good,
53,306,0.761904762,63,0.833333333,12,good,
54,309,0.774566474,173,0.871794872,39,good,
55,310,0.896103896,77,0.933333333,30,good,
56,311,0.879310345,116,0.869565217,23,good,
57,312,0.768292683,82,0.818181818,33,good,
58,313,0.888888889,72,0.8,10,good,
59,315,0.863636364,44,NA,NA,good,
60,316,0.847457627,59,0.911764706,34,good,
61,318,0.944444444,18,NA,NA,good,
62,319,0.832061069,131,1,18,good,
63,321,0.893617021,141,1,23,good,
64,323,0.907407407,54,1,9,good,
65,324,0.647058824,17,1,15,low,remove from val
66,327,0.909090909,44,0.875,8,good,
67,328,0.75,12,1,3,good,
68,329,0.822695035,141,0.854166667,48,good,
69,331,0.874285714,175,0.929824561,57,good,
70,333,0.827586207,87,0.9375,16,good,
71,336,0.847058824,170,0.92,50,good,
72,337,0.830508475,177,0.844444444,45,good,
73,342,0.913580247,81,0.916666667,12,good,
